Id,State,date,New_cases
545,Chhattisgarh,03-10-2018,465
546,Goa,07-10-2018,31
547,Gujarat,23-10-2018,2854
548,Haryana,09-10-2018,768
549,Himachal Pradesh,15-10-2018,1131
550,J & K,22-10-2018,131
551,Jharkhand,05-10-2018,77
552,Karnataka,12-10-2018,601
553,Kerala,09-10-2018,181
554,Madhya Pradesh,12-10-2018,1928
555,Meghalaya,10-10-2018,0
556,Maharashtra,06-10-2018,2278
557,Manipur,09-10-2018,3
558,Mizoram,04-10-2018,2
559,Nagaland,08-10-2018,77
560,Odisha,13-10-2018,915
561,Punjab,25-10-2018,6555
562,Rajasthan,16-10-2018,3917
563,Sikkim,27-10-2018,68
564,Tamil Nadu,01-10-2018,605
565,Tripura,13-10-2018,22
566,Telengana,07-10-2018,1149
567,Uttar Pradesh,13-10-2018,2126
568,Uttrakhand,22-10-2018,335
569,West Bengal,21-10-2018,Not Reported
570,A&N Island,07-10-2018,12
571,Chandigarh,07-10-2018,115
572,Delhi,28-10-2018,2245
573,D&N Haveli,22-10-2018,160
574,Daman & Diu,21-10-2018,60
575,Puducherry,24-10-2018,95
576,Total,04-10-2018,30125
577,Andhara Pradesh,06-11-2018,199
578,Arunachal Pradesh,21-11-2018,0
579,Assam,26-11-2018,56
580,Bihar,18-11-2018,1028
581,Chhattisgarh,03-11-2018,189
582,Goa,22-11-2018,19
583,Gujarat,23-11-2018,1347
584,Haryana,21-11-2018,685
585,Himachal Pradesh,25-11-2018,228
586,J & K,22-11-2018,53
587,Jharkhand,14-11-2018,126
588,Karnataka,16-11-2018,318
589,Kerala,28-11-2018,135
590,Madhya Pradesh,19-11-2018,1130
591,Meghalaya,14-11-2018,0
592,Maharashtra,13-11-2018,1823
593,Manipur,27-11-2018,1
594,Mizoram,15-11-2018,3
595,Nagaland,15-11-2018,57
596,Odisha,23-11-2018,341
597,Punjab,19-11-2018,5454
598,Rajasthan,12-11-2018,1928
599,Sikkim,06-11-2018,15
600,Tamil Nadu,26-11-2018,1016
601,Tripura,03-11-2018,26
602,Telengana,12-11-2018,693
603,Uttar Pradesh,07-11-2018,627
604,Uttrakhand,27-11-2018,148
605,West Bengal,19-11-2018,Not Reported
606,A&N Island,10-11-2018,6
607,Chandigarh,14-11-2018,80
608,Delhi,11-11-2018,2813
609,D&N Haveli,28-11-2018,94
610,Daman & Diu,24-11-2018,35
611,Puducherry,14-11-2018,179
612,Total,15-11-2018,20852
613,Andhara Pradesh,04-12-2018,150
614,Arunachal Pradesh,19-12-2018,0
615,Assam,08-12-2018,3
616,Bihar,28-12-2018,54
617,Chhattisgarh,05-12-2018,45
618,Goa,21-12-2018,13
619,Gujarat,01-12-2018,501
620,Haryana,08-12-2018,144
621,Himachal Pradesh,26-12-2018,10
622,J & K,12-12-2018,7
623,Jharkhand,09-12-2018,21
624,Karnataka,02-12-2018,819
625,Kerala,08-12-2018,114
626,Madhya Pradesh,06-12-2018,138
627,Meghalaya,01-12-2018,28
628,Maharashtra,18-12-2018,996
629,Manipur,05-12-2018,1
630,Mizoram,09-12-2018,0
631,Nagaland,09-12-2018,0
632,Odisha,18-12-2018,59
633,Punjab,12-12-2018,645
634,Rajasthan,20-12-2018,400
635,Sikkim,16-12-2018,0
636,Tamil Nadu,24-12-2018,690
637,Tripura,08-12-2018,7
638,Telengana,06-12-2018,378
639,Uttar Pradesh,24-12-2018,164
640,Uttrakhand,10-12-2018,0
641,West Bengal,01-12-2018,Not Reported
642,A&N Island,12-12-2018,10
643,Chandigarh,11-12-2018,16
644,Delhi,19-12-2018,922
645,D&N Haveli,01-12-2018,29
646,Daman & Diu,16-12-2018,14
647,Puducherry,25-12-2018,138
648,Total,01-12-2018,6516
